,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion
0,2024-01-07,0.0,0.0,94.26940197497606,176.66702865064144,350.72671456374184,3113
1,2024-01-14,0.0,15.0920066870749,108.65104363113642,181.41907250136137,383.8819610103965,3113
2,2024-01-21,0.0,63.01407500915229,139.49000253528357,233.8675283510238,427.20674462690937,3113
3,2024-01-28,14.497281499207022,108.83133536204696,183.72444988042116,281.7889629956335,481.56976000517585,3113
4,2024-02-04,58.513542781211434,132.13297775946558,216.16072922945023,307.63227312639356,514.5299068115647,3113
5,2024-02-11,90.01603501383215,185.3665557950735,255.2287076599896,357.36194629222155,585.159120634943,3113
6,2024-02-18,119.58952196985483,239.92365105450153,300.9818574786186,400.14383701980114,608.5512899436053,3113
7,2024-02-25,141.24829132519662,265.76451879926026,339.5990016683936,434.95991517975926,646.6227513849732,3113
8,2024-03-03,143.61769069153814,291.98155595362186,360.6533258110285,453.3070516772568,679.0771161407231,3113
9,2024-03-10,159.2590227233246,327.21654108166695,401.1445438340306,488.6477728150785,691.9191129125652,3113
