,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
0,2024-01-07,0.0,71.94190064910799,140.1860121684149,211.09224492218345,320.0167666887864,3101,28.0,20.0,201.214031883449,59.1627550242304,7.11512264362296,2.09205219930114
1,2024-01-14,0.0,97.15507469139993,146.4613141398877,199.23035553190857,308.84409277513623,3101,16.0,17.0,228.943578841134,70.7117949782788,8.09566622504828,2.5004374143877
2,2024-01-21,0.0,28.60810739453882,90.51751223858446,153.02336713299155,261.9724514465779,3101,0.0,57.0,341.605666201359,107.064177698633,12.079506523616,3.78589280247444
3,2024-01-28,18.390755917411298,128.7907720520161,181.1400457751006,218.3829746162519,323.73259111307544,3101,0.0,18.0,393.552775563896,105.970806442964,13.9164065182954,3.74723013811512
4,2024-02-04,0.0,49.87150241038762,127.29100014548749,175.4090591520071,280.6534938113763,3101,0.0,61.0,474.954118794182,145.563989636072,16.7948366904746,5.14728336319823
5,2024-02-11,0.0,95.57347081135958,157.96959490980953,219.71219106111676,328.66880803136144,3101,0.0,54.0,586.123482896423,165.44380098411,20.7258928519017,5.85025270658531
6,2024-02-18,11.836890693986788,108.44170423224568,156.0648087132722,200.45942274853587,282.33011067099847,3101,0.0,83.0,776.728250512602,223.720228151723,27.4658616570291,7.91096349622797
7,2024-02-25,43.05956533178687,136.3492445833981,191.10657304525375,230.27015406172723,310.3623191062361,3101,0.0,80.0,1000.4952485952,241.471534949674,35.3784789832165,8.53866686149406
8,2024-03-03,61.88701491500251,131.0858979052864,170.3516983985901,203.80833307746798,265.1354504036717,3101,0.0,99.0,1313.05087583923,311.354593581511,46.4307480520255,11.0097993576861
9,2024-03-10,87.10483469674364,168.46211773343384,200.90956337749958,230.03663510084152,294.4021549331955,3101,0.0,100.0,1465.48740542947,374.844379483174,51.8210510704107,13.2548595509502
