,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
0,2024-01-07,19.03387130717747,70.73042543232441,98.36327636986971,131.29411704838276,274.6411357812579,3102,97.0,2.0,19.2180794885054,6.03337108436459,2.41822323217456,0.759182941941063
1,2024-01-14,42.14838887285441,91.77314473688602,118.816838696599,150.25713102146983,284.48321521207686,3102,100.0,0.0,20.835943360895,6.29508327260017,2.62180007787595,0.79211435395406
2,2024-01-21,26.668788350373507,72.84835798665881,101.05237849056721,138.17656568810344,256.9019896440207,3102,95.0,0.0,29.8032625276695,6.10863752312483,3.75016358331303,0.768653766063832
3,2024-01-28,31.153333452856167,76.86256718914956,98.8454988449812,132.77628020755947,254.30960630252937,3102,98.0,0.0,27.733119513881,6.99177493121743,3.48967616401281,0.879779510898497
4,2024-02-04,49.92432164773345,88.16011134721339,108.34401917085052,133.42994165048003,231.8962344370782,3102,100.0,0.0,31.8414191534507,6.6500255650879,4.00662613495471,0.836776969606603
5,2024-02-11,45.826017890777436,87.1129497345537,110.08578731492162,141.89498732611537,242.40185726135962,3102,97.0,0.0,44.8395889343893,6.68902922381063,5.64219415093754,0.841684824926877
6,2024-02-18,50.845649373997006,81.74564647302032,99.67394606769085,127.7890603505075,214.4693308718502,3102,87.0,0.0,62.8956144337263,12.279411638995,7.91419538651099,1.54512621932973
7,2024-02-25,64.27479601958767,85.820871418342,110.91803546249866,134.31180163100362,218.9760425299404,3102,73.0,0.0,91.8038912518217,12.8379648419589,11.5517423456368,1.61540932605851
8,2024-03-03,55.68728813221678,81.7678571343422,96.04073417186737,115.77646663412452,187.15131140388544,3102,8.0,0.0,159.639428020761,25.7789930937025,20.0875313187128,3.2437871868802
9,2024-03-10,65.52522764289752,83.70521851070225,102.39677515253425,116.82212286256254,180.216409092769,3102,0.0,0.0,211.79739758478,28.6251821539734,26.6506019844473,3.60192497649778
