,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
0,2024-01-07,106.21740913344547,203.46800963394344,301.48550640791655,406.00376624614,578.3692377489059,3109,79.0,1.0,194.943812622415,33.6755980424279,27.4518486224234,4.74217369248277
1,2024-01-14,110.34319065976888,207.16040364466608,289.2008040845394,383.9320730417967,578.6892363317306,3109,58.0,1.0,260.855018999882,39.1870783217385,36.7334176840694,5.51829641357758
2,2024-01-21,110.51535292947666,209.9086799286306,309.508043974638,407.4420802667737,587.5267930384723,3109,53.0,1.0,300.485077491683,54.3589960453013,42.3140942491773,7.65479504390763
3,2024-01-28,62.688784977188334,162.6867744559422,256.8279488198459,352.62051029130816,529.2502199448639,3109,12.0,7.0,420.861010090608,88.9809282888985,59.2653472027104,12.5302308434932
4,2024-02-04,93.76917816372588,198.1514908466488,301.3945419713855,390.94185691326857,569.5448111798612,3109,16.0,3.0,445.185421677549,100.422388636163,62.6906934895792,14.1414091273658
5,2024-02-11,126.47474899841474,222.82099407166243,300.31690683215857,392.75079395622015,577.1175862569361,3109,4.0,2.0,568.032862828885,110.79632646972,79.9899825143122,15.6022596524185
6,2024-02-18,132.74539333255962,221.69860520400107,298.8899429887533,388.11024241149426,513.1183567102998,3109,0.0,3.0,633.752110728916,121.926430804332,89.244520120107,17.1695930047078
7,2024-02-25,130.70567071111873,226.70276487246156,302.2984603047371,397.2237113304436,550.0764573868362,3109,0.0,7.0,767.194860913072,160.514761269798,108.035833004249,22.6035741723061
8,2024-03-03,111.31500933971257,216.9992497563362,297.8899862617254,380.10589161887765,537.3552755415438,3109,0.0,12.0,829.635172848547,175.933058106109,116.828633186677,24.7747677335289
9,2024-03-10,147.53425983712077,227.1851830650121,302.22259547561407,372.32026098296046,543.4623107388611,3109,0.0,16.0,982.604576426719,208.16654806534,138.369675471635,29.3138647945222
