,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
0,2024-01-07,0.0,27.036177461966872,66.72484885901213,99.77450577775016,161.83044130895286,3112,2.0,63.0,173.840204250658,88.4670883997786,21.7751818146203,11.0813660327828
1,2024-01-14,0.0,41.21815193630755,82.69471203815192,113.40468469122425,201.50670338887716,3112,1.0,73.0,219.925832102389,110.934976614066,27.5478563799666,13.895688260288
2,2024-01-21,0.0,46.68024931708351,76.73734128568321,108.01408242294565,191.26477099014437,3112,1.0,64.0,229.981350114156,98.6822906006528,28.8074081268726,12.3609197824805
3,2024-01-28,0.0,32.30179597623646,75.73160692490637,103.357928681653,188.7136202241294,3112,0.0,72.0,261.098994773607,97.5093440594192,32.705196748458,12.2139967832567
4,2024-02-04,38.0644841358997,92.59331124974415,115.9615220669657,139.44605929870158,243.4358139356593,3112,0.0,52.0,374.044563135408,120.145569979197,46.8527312433419,15.0494049509166
5,2024-02-11,37.76472509773448,71.71869052620605,100.49035742506385,140.7070927368477,202.87892728233703,3112,0.0,65.0,407.486977183595,117.239699529664,51.0417199146224,14.6854163233085
6,2024-02-18,49.49065867569298,86.82702219346538,111.69733210466802,141.37645317893475,216.59354775818062,3112,0.0,83.0,497.947609107645,154.605949111888,62.3727967256655,19.365903681746
7,2024-02-25,45.20949058723636,86.47807873226702,112.46113010589033,143.12783594056964,219.28079110588868,3112,0.0,84.0,513.493583784238,162.240435172261,64.3200817425433,20.3221975537096
8,2024-03-03,83.23373608505354,122.23341565299779,147.4860619045794,178.4002543380484,255.3594755815342,3112,0.0,93.0,666.670857617007,232.735686386326,83.5070299053921,29.1524156201831
9,2024-03-10,97.90277148541064,145.42099123075604,165.88396788574755,184.4400874916464,247.69398252451774,3112,0.0,97.0,858.162685980361,249.367655350911,107.493249874472,31.2357320181365
