,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion
0,2024-01-07,0.0,40.45772226713598,60.27849464304745,79.05675789806992,110.81629130225626,3110
1,2024-01-14,0.0,28.86111585609615,51.883269778452814,71.16078992374241,104.24947619512676,3110
2,2024-01-21,0.0,21.872503117658198,43.29516955651343,61.083425474353135,95.73928394895047,3110
3,2024-01-28,0.0,19.19440398644656,44.59144145343453,62.339938953053206,94.49658672912044,3110
4,2024-02-04,0.0,18.1393883228302,41.27324396558106,60.746005778200924,91.66669341456145,3110
5,2024-02-11,0.0,24.863235135562718,48.29008559323847,66.96745276544243,93.99844798743723,3110
6,2024-02-18,9.144941284880042,39.28939410485327,58.662707617506385,73.13213132414967,99.63776258351277,3110
7,2024-02-25,19.164884365256878,44.17242912622169,62.51498740538955,78.4680874729529,100.61922052325679,3110
8,2024-03-03,28.161185332294554,48.65228826366365,66.8729825373739,79.9685216806829,98.81030520983039,3110
9,2024-03-10,32.987498426763345,53.148376950994134,70.65164592303336,81.35337487701327,99.61794521678239,3110
