,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_max_2304400,umid_min_2304400,pressao_min_2304400,casos_2311702,casos_est_2311702,casos_est_min_2311702,casos_est_max_2311702,p_rt1_2311702,p_inc100k_2311702,temp_min_2311702,temp_max_2311702,umid_min_2311702,pressao_min_2311702,casos_2307650,casos_est_2307650,casos_est_min_2307650,casos_est_max_2307650,p_rt1_2307650,p_inc100k_2307650,temp_min_2307650,temp_max_2307650,umid_min_2307650,pressao_min_2307650,casos_2306306,casos_est_2306306,casos_est_min_2306306,casos_est_max_2306306,p_rt1_2306306,p_inc100k_2306306,temp_min_2306306,temp_max_2306306,umid_min_2306306,pressao_min_2306306
2010-03-14,73,73.0,73,73,0.32045537,2.717177,26.428571428571427,31.285714285714285,54.57142857142857,1008.8571428571429,0,0.0,0,0,0.0,0.0,26.428571428571427,31.285714285714285,54.57142857142857,1008.8571428571429,6,6.0,6,6,0.32375664,2.6148577,26.428571428571427,31.285714285714285,54.57142857142857,1008.8571428571429,0,0.0,0,0,0.0,0.0,26.428571428571427,31.285714285714285,54.57142857142857,1008.8571428571429
2010-03-21,84,84.0,84,84,0.754532,3.1266146,25.142857142857142,30.571428571428573,57.714285714285715,866.7142857142857,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,57.714285714285715,866.7142857142857,4,4.0,4,4,0.1809072,1.7432384,25.142857142857142,30.571428571428573,57.714285714285715,866.7142857142857,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,57.714285714285715,866.7142857142857
2010-03-28,101,101.0,101,101,0.9725745,3.7593818,23.571428571428573,29.857142857142858,64.71428571428571,1008.0,0,0.0,0,0,0.0,0.0,23.571428571428573,29.857142857142858,64.71428571428571,1008.0,2,2.0,2,2,0.08320423,0.8716192,23.571428571428573,29.857142857142858,64.71428571428571,1008.0,0,0.0,0,0,0.0,0.0,23.571428571428573,29.857142857142858,64.71428571428571,1008.0
2010-04-04,89,89.0,89,89,0.6430923,3.3127224,24.571428571428573,30.714285714285715,62.714285714285715,1007.8571428571429,1,1.0,1,1,0.9632679,5.4392166,24.571428571428573,30.714285714285715,62.714285714285715,1007.8571428571429,5,5.0,5,5,0.6129148,2.179048,24.571428571428573,30.714285714285715,62.714285714285715,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.571428571428573,30.714285714285715,62.714285714285715,1007.8571428571429
2010-04-11,67,67.0,67,67,0.03261795,2.4938474,25.0,31.0,61.142857142857146,1007.7142857142857,0,0.0,0,0,0.0,0.0,25.0,31.0,61.142857142857146,1007.7142857142857,5,5.0,5,5,0.6927547,2.179048,25.0,31.0,61.142857142857146,1007.7142857142857,0,0.0,0,0,0.0,0.0,25.0,31.0,61.142857142857146,1007.7142857142857
2010-04-18,85,85.0,85,85,0.48123053,3.163836,24.0,30.714285714285715,59.42857142857143,1008.8571428571429,0,0.0,0,0,0.0,0.0,24.0,30.714285714285715,59.42857142857143,1008.8571428571429,9,9.0,9,9,0.904174,3.9222865,24.0,30.714285714285715,59.42857142857143,1008.8571428571429,0,0.0,0,0,0.0,0.0,24.0,30.714285714285715,59.42857142857143,1008.8571428571429
2010-04-25,110,110.0,110,110,0.9837424,4.094376,24.571428571428573,30.857142857142858,62.714285714285715,1009.2857142857143,0,0.0,0,0,0.0,0.0,24.571428571428573,30.857142857142858,62.714285714285715,1009.2857142857143,22,22.0,22,22,0.99856514,9.587811,24.571428571428573,30.857142857142858,62.714285714285715,1009.2857142857143,0,0.0,0,0,0.0,0.0,24.571428571428573,30.857142857142858,62.714285714285715,1009.2857142857143
2010-05-02,68,68.0,68,68,0.07618177,2.5310688,24.857142857142858,30.857142857142858,58.57142857142857,1009.8571428571429,0,0.0,0,0,0.0,0.0,24.857142857142858,30.857142857142858,58.57142857142857,1009.8571428571429,13,13.0,13,13,0.65282583,5.665525,24.857142857142858,30.857142857142858,58.57142857142857,1009.8571428571429,0,0.0,0,0,0.0,0.0,24.857142857142858,30.857142857142858,58.57142857142857,1009.8571428571429
2010-05-09,92,92.0,92,92,0.56207323,3.4243872,24.428571428571427,30.285714285714285,62.857142857142854,1009.0,0,0.0,0,0,0.0,0.0,24.428571428571427,30.285714285714285,62.857142857142854,1009.0,10,10.0,10,10,0.15670244,4.358096,24.428571428571427,30.285714285714285,62.857142857142854,1009.0,0,0.0,0,0,0.0,0.0,24.428571428571427,30.285714285714285,62.857142857142854,1009.0
2010-05-16,103,103.0,103,103,0.88583124,3.8338249,24.571428571428573,30.714285714285715,59.0,1009.1428571428571,0,0.0,0,0,0.0,0.0,24.571428571428573,30.714285714285715,59.0,1009.1428571428571,23,23.0,23,23,0.9156658,10.023621,24.571428571428573,30.714285714285715,59.0,1009.1428571428571,0,0.0,0,0,0.0,0.0,24.571428571428573,30.714285714285715,59.0,1009.1428571428571
2010-05-23,106,106.0,106,106,0.87210906,3.9454896,25.0,30.571428571428573,59.0,1008.5714285714286,0,0.0,0,0,0.0,0.0,25.0,30.571428571428573,59.0,1008.5714285714286,18,18.0,18,18,0.7080486,7.844573,25.0,30.571428571428573,59.0,1008.5714285714286,0,0.0,0,0,0.0,0.0,25.0,30.571428571428573,59.0,1008.5714285714286
2010-05-30,143,143.0,143,143,0.99661255,5.322689,24.857142857142858,30.428571428571427,59.0,1008.8571428571429,0,0.0,0,0,0.0,0.0,24.857142857142858,30.428571428571427,59.0,1008.8571428571429,5,5.0,5,5,0.0035603305,2.179048,24.857142857142858,30.428571428571427,59.0,1008.8571428571429,0,0.0,0,0,0.0,0.0,24.857142857142858,30.428571428571427,59.0,1008.8571428571429
2010-06-06,136,136.0,136,136,0.9139636,5.0621376,23.428571428571427,29.714285714285715,64.57142857142857,1012.1428571428571,1,1.0,1,1,0.9632679,5.4392166,23.428571428571427,29.714285714285715,64.57142857142857,1012.1428571428571,18,18.0,18,18,0.6672732,7.844573,23.428571428571427,29.714285714285715,64.57142857142857,1012.1428571428571,0,0.0,0,0,0.0,0.0,23.428571428571427,29.714285714285715,64.57142857142857,1012.1428571428571
2010-06-13,148,148.0,148,148,0.86607206,5.508797,24.142857142857142,30.857142857142858,52.285714285714285,1011.7142857142857,0,0.0,0,0,0.0,0.0,24.142857142857142,30.857142857142858,52.285714285714285,1011.7142857142857,23,23.0,23,23,0.9507028,10.023621,24.142857142857142,30.857142857142858,52.285714285714285,1011.7142857142857,0,0.0,0,0,0.0,0.0,24.142857142857142,30.857142857142858,52.285714285714285,1011.7142857142857
2010-06-20,124,124.0,124,124,0.2005225,4.6154785,23.857142857142858,30.857142857142858,51.42857142857143,1010.1428571428571,0,0.0,0,0,0.0,0.0,23.857142857142858,30.857142857142858,51.42857142857143,1010.1428571428571,13,13.0,13,13,0.3023076,5.665525,23.857142857142858,30.857142857142858,51.42857142857143,1010.1428571428571,0,0.0,0,0,0.0,0.0,23.857142857142858,30.857142857142858,51.42857142857143,1010.1428571428571
2010-06-27,129,129.0,129,129,0.30893067,4.8015866,23.571428571428573,30.714285714285715,48.57142857142857,1011.0,0,0.0,0,0,0.0,0.0,23.571428571428573,30.714285714285715,48.57142857142857,1011.0,19,19.0,19,19,0.5623544,8.280382,23.571428571428573,30.714285714285715,48.57142857142857,1011.0,0,0.0,0,0,0.0,0.0,23.571428571428573,30.714285714285715,48.57142857142857,1011.0
2010-07-04,162,162.0,162,162,0.95332414,6.0298996,23.857142857142858,30.571428571428573,48.857142857142854,1010.5714285714286,0,0.0,0,0,0.0,0.0,23.857142857142858,30.571428571428573,48.857142857142854,1010.5714285714286,14,14.0,14,14,0.28633317,6.1013346,23.857142857142858,30.571428571428573,48.857142857142854,1010.5714285714286,0,0.0,0,0,0.0,0.0,23.857142857142858,30.571428571428573,48.857142857142854,1010.5714285714286
