,casos_2611002,casos_est_2611002,casos_est_min_2611002,casos_est_max_2611002,p_rt1_2611002,p_inc100k_2611002,temp_min_2611002,temp_max_2611002,umid_min_2611002,pressao_min_2611002,casos_2611606,casos_est_2611606,casos_est_min_2611606,casos_est_max_2611606,p_rt1_2611606,p_inc100k_2611606,temp_min_2611606,temp_max_2611606,umid_min_2611606,pressao_min_2611606,casos_2610707,casos_est_2610707,casos_est_min_2610707,casos_est_max_2610707,p_rt1_2610707,p_inc100k_2610707,temp_min_2610707,temp_max_2610707,umid_min_2610707,pressao_min_2610707,casos_2609600,casos_est_2609600,casos_est_min_2609600,casos_est_max_2609600,p_rt1_2609600,p_inc100k_2609600,temp_min_2609600,temp_max_2609600,umid_min_2609600,pressao_min_2609600,casos_2600054,casos_est_2600054,casos_est_min_2600054,casos_est_max_2600054,p_rt1_2600054,p_inc100k_2600054,temp_min_2600054,temp_max_2600054,umid_min_2600054,pressao_min_2600054
2010-04-04,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,25.85523483333333,30.5693715,67.55005566666667,0.99600451
2010-04-11,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,25.38807028571429,29.210811142857143,77.24421585714286,0.9954942071428572
2010-04-18,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.85151014285714,29.596143285714284,73.43436314285714,0.9967416142857143
2010-04-25,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,25.145560285714286,29.525743714285714,70.9756737142857,0.9973599528571429
2010-05-02,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.947479333333334,29.3833975,74.77756816666667,0.9976185983333333
2010-05-09,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.841417571428572,29.19228671428571,70.90856242857143,0.9973624885714286
2010-05-16,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.683947,29.134713285714287,73.2241592857143,0.9973435914285714
2010-05-23,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.25681414285714,28.587411142857142,73.58423428571429,0.9971005114285714
2010-05-30,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.78239214285714,29.301152000000002,68.9824947142857,0.9979938571428572
2010-06-06,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.225351833333335,28.049433500000003,76.88041,1.0001724166666666
