,casos_3303203,casos_est_3303203,casos_est_min_3303203,casos_est_max_3303203,p_rt1_3303203,p_inc100k_3303203,temp_min_3303203,temp_max_3303203,umid_min_3303203,pressao_min_3303203,casos_3303500,casos_est_3303500,casos_est_min_3303500,casos_est_max_3303500,p_rt1_3303500,p_inc100k_3303500,temp_min_3303500,temp_max_3303500,umid_min_3303500,pressao_min_3303500,casos_3302858,casos_est_3302858,casos_est_min_3302858,casos_est_max_3302858,p_rt1_3302858,p_inc100k_3302858,temp_min_3302858,temp_max_3302858,umid_min_3302858,pressao_min_3302858,casos_3304144,casos_est_3304144,casos_est_min_3304144,casos_est_max_3304144,p_rt1_3304144,p_inc100k_3304144,temp_min_3304144,temp_max_3304144,umid_min_3304144,pressao_min_3304144,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557
2010-01-03,0,0.0,0,0,0.0,0.0,24.333333333333332,33.0,42.0,1009.6666666666666,9,9.0,9,9,0.0,1.093159,24.333333333333332,33.0,42.0,1009.6666666666666,1,1.0,1,1,0.0,0.5663508,18.333333333333332,28.666666666666668,51.0,1018.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,23.666666666666668,34.333333333333336,45.333333333333336,1010.0,31,31.0,31,31.0,0.0,0.459408,24.333333333333332,33.0,42.0,1009.6666666666666
2010-01-10,0,0.0,0,0,0.0,0.0,25.428571428571427,34.0,43.285714285714285,1008.0,6,6.0,6,6,0.0,0.7287727,25.428571428571427,34.0,43.285714285714285,1008.0,1,1.0,1,1,0.0,0.5663508,17.857142857142858,29.285714285714285,48.57142857142857,1017.4285714285714,0.0,0.0,0.0,0.0,0.0,0.0,24.714285714285715,36.285714285714285,41.142857142857146,1007.8571428571429,45,45.0,45,45.0,0.0,0.6668825,25.428571428571427,34.0,43.285714285714285,1008.0
2010-01-17,0,0.0,0,0,0.0,0.0,24.142857142857142,34.0,43.857142857142854,1010.2857142857143,6,6.0,6,6,0.0,0.7287727,24.142857142857142,34.0,43.857142857142854,1010.2857142857143,0,0.0,0,0,0.0,0.0,18.428571428571427,30.0,49.857142857142854,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,24.142857142857142,35.57142857142857,43.57142857142857,1010.2857142857143,48,48.0,48,48.0,0.0,0.7113414,24.142857142857142,34.0,43.857142857142854,1010.2857142857143
2010-01-24,0,0.0,0,0,0.0,0.0,23.714285714285715,34.285714285714285,39.285714285714285,1009.0,4,4.0,4,4,0.0,0.48584846,23.714285714285715,34.285714285714285,39.285714285714285,1009.0,0,0.0,0,0,0.0,0.0,18.714285714285715,29.0,54.714285714285715,1018.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,24.142857142857142,35.857142857142854,40.714285714285715,1009.2857142857143,56,56.0,56,56.0,0.0,0.8298983,23.714285714285715,34.285714285714285,39.285714285714285,1009.0
2010-01-31,1,1.0,1,1,0.0,0.6146546,23.857142857142858,33.857142857142854,41.285714285714285,1009.8571428571429,8,8.0,8,8,0.0,0.9716969,23.857142857142858,33.857142857142854,41.285714285714285,1009.8571428571429,0,0.0,0,0,0.0,0.0,18.285714285714285,28.142857142857142,51.57142857142857,1019.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0,23.571428571428573,35.285714285714285,41.57142857142857,1009.7142857142857,69,69.0,69,69.0,0.0,1.0225532,23.857142857142858,33.857142857142854,41.285714285714285,1009.8571428571429
2010-02-07,0,0.0,0,0,0.0,0.0,25.142857142857142,37.0,30.142857142857142,1009.1428571428571,11,11.0,11,11,0.8980769,1.3360833,25.142857142857142,37.0,30.142857142857142,1009.1428571428571,0,0.0,0,0,0.0,0.0,18.285714285714285,30.714285714285715,43.42857142857143,1019.2857142857143,2.0,2.0,2.0,2.0,0.9779825,1.3215714,24.857142857142858,38.42857142857143,30.0,1009.2857142857143,59,59.0,59,59.0,0.59582657,0.8743571,25.142857142857142,37.0,30.142857142857142,1009.1428571428571
2010-02-14,1,1.0,1,1,0.730556,0.6146546,24.714285714285715,36.42857142857143,29.714285714285715,1008.7142857142857,9,9.0,9,9,0.63201135,1.093159,24.714285714285715,36.42857142857143,29.714285714285715,1008.7142857142857,1,1.0,1,1,0.96022433,0.5663508,17.714285714285715,31.142857142857142,43.0,1018.2857142857143,3.0,3.0,3.0,3.0,0.9304139,1.982357,24.571428571428573,37.714285714285715,33.142857142857146,1008.8571428571429,69,69.0,69,69.0,0.7340243,1.0225532,24.714285714285715,36.42857142857143,29.714285714285715,1008.7142857142857
2010-02-21,1,1.0,1,1,0.6887573,0.6146546,24.428571428571427,34.285714285714285,40.142857142857146,1011.0,13,13.0,13,13,0.77808744,1.5790075,24.428571428571427,34.285714285714285,40.142857142857146,1011.0,1,1.0,1,1,0.81445277,0.5663508,17.857142857142858,29.142857142857142,52.285714285714285,1019.2857142857143,2.0,2.0,2.0,2.0,0.58596957,1.3215714,24.285714285714285,35.42857142857143,42.857142857142854,1011.0,77,77.0,77,77.0,0.8576254,1.1411102,24.428571428571427,34.285714285714285,40.142857142857146,1011.0
2010-02-28,0,0.0,0,0,0.0,0.0,23.285714285714285,32.142857142857146,46.42857142857143,1010.1428571428571,12,12.0,12,12,0.6267102,1.4575454,23.285714285714285,32.142857142857146,46.42857142857143,1010.1428571428571,1,1.0,1,1,0.6177498,0.5663508,18.285714285714285,27.571428571428573,57.42857142857143,1018.1428571428571,5.0,5.0,5.0,5.0,0.8434529,3.3039284,23.428571428571427,33.714285714285715,47.0,1010.0,99,99.0,99,99.0,0.98815596,1.4671416,23.285714285714285,32.142857142857146,46.42857142857143,1010.1428571428571
2010-03-07,1,1.0,1,1,0.6158557,0.6146546,21.571428571428573,26.428571428571427,69.0,1010.5714285714286,10,10.0,10,10,0.37573236,1.2146211,21.571428571428573,26.428571428571427,69.0,1010.5714285714286,2,2.0,2,2,0.75246555,1.1327016,16.428571428571427,24.428571428571427,73.0,1016.7142857142857,4.0,4.0,4.0,4.0,0.64700234,2.6431427,21.714285714285715,27.714285714285715,67.42857142857143,1010.7142857142857,75,75.0,75,75.0,0.37574977,1.1114709,21.571428571428573,26.428571428571427,69.0,1010.5714285714286
2010-03-14,0,0.0,0,0,0.0,0.0,23.714285714285715,35.285714285714285,39.0,1005.8571428571429,16,16.0,16,16,0.7939745,1.9433938,23.714285714285715,35.285714285714285,39.0,1005.8571428571429,1,1.0,1,1,0.42548013,0.5663508,17.142857142857142,30.571428571428573,42.857142857142854,1014.8571428571429,4.0,4.0,4.0,4.0,0.5250507,2.6431427,23.428571428571427,36.714285714285715,38.142857142857146,1006.1428571428571,73,73.0,73,73.0,0.18485987,1.0818317,23.714285714285715,35.285714285714285,39.0,1005.8571428571429
2010-03-21,3,3.0,3,3,0.93416303,1.8439637,22.571428571428573,30.0,55.714285714285715,1011.8571428571429,34,34.0,34,34,0.99897397,4.1297116,22.571428571428573,30.0,55.714285714285715,1011.8571428571429,2,2.0,2,2,0.63183755,1.1327016,16.857142857142858,25.428571428571427,57.714285714285715,1019.5714285714286,5.0,5.0,5.0,5.0,0.6137071,3.3039284,22.142857142857142,31.285714285714285,56.285714285714285,1011.7142857142857,104,104.0,104,104.0,0.95031595,1.5412396,22.571428571428573,30.0,55.714285714285715,1011.8571428571429
2010-03-28,2,2.0,2,2,0.72834885,1.2293092,23.714285714285715,33.42857142857143,43.0,1009.7142857142857,36,36.0,36,36,0.98680377,4.372636,23.714285714285715,33.42857142857143,43.0,1009.7142857142857,2,2.0,2,2,0.61033726,1.1327016,16.571428571428573,28.285714285714285,52.42857142857143,1019.1428571428571,7.0,7.0,7.0,7.0,0.78591573,4.6254997,23.142857142857142,35.42857142857143,43.857142857142854,1009.8571428571429,84,84.0,84,84.0,0.5412385,1.2448474,23.714285714285715,33.42857142857143,43.0,1009.7142857142857
2010-04-04,1,1.0,1,1,0.2893955,0.6146546,23.142857142857142,31.0,55.857142857142854,1011.0,19,19.0,19,19,0.09723045,2.30778,23.142857142857142,31.0,55.857142857142854,1011.0,0,0.0,0,0,0.0,0.0,17.714285714285715,26.857142857142858,54.42857142857143,1019.1428571428571,5.0,5.0,5.0,5.0,0.4785266,3.3039284,22.714285714285715,32.714285714285715,53.142857142857146,1011.0,80,80.0,80,80.0,0.2606664,1.1855689,23.142857142857142,31.0,55.857142857142854,1011.0
2010-04-11,0,0.0,0,0,0.0,0.0,19.142857142857142,25.428571428571427,59.285714285714285,1013.4285714285714,22,22.0,22,22,0.15215223,2.6721666,19.142857142857142,25.428571428571427,59.285714285714285,1013.4285714285714,0,0.0,0,0,0.0,0.0,12.571428571428571,23.0,56.0,1018.7142857142857,1.0,1.0,1.0,1.0,0.022087017,0.6607857,19.142857142857142,26.857142857142858,62.857142857142854,1013.1428571428571,84,84.0,84,84.0,0.41330853,1.2448474,19.142857142857142,25.428571428571427,59.285714285714285,1013.4285714285714
