,casos_4104501,casos_est_4104501,casos_est_min_4104501,casos_est_max_4104501,p_rt1_4104501,p_inc100k_4104501,temp_min_4104501,temp_max_4104501,umid_min_4104501,pressao_min_4104501,casos_4113304,casos_est_4113304,casos_est_min_4113304,casos_est_max_4113304,p_rt1_4113304,p_inc100k_4113304,temp_min_4113304,temp_max_4113304,umid_min_4113304,pressao_min_4113304,casos_4125704,casos_est_4125704,casos_est_min_4125704,casos_est_max_4125704,p_rt1_4125704,p_inc100k_4125704,temp_min_4125704,temp_max_4125704,umid_min_4125704,pressao_min_4125704,casos_4108304,casos_est_4108304,casos_est_min_4108304,casos_est_max_4108304,p_rt1_4108304,p_inc100k_4108304,temp_min_4108304,temp_max_4108304,umid_min_4108304,pressao_min_4108304,casos_4124053,casos_est_4124053,casos_est_min_4124053,casos_est_max_4124053,p_rt1_4124053,p_inc100k_4124053,temp_min_4124053,temp_max_4124053,umid_min_4124053,pressao_min_4124053,casos_4103057,casos_est_4103057,casos_est_min_4103057,casos_est_max_4103057,p_rt1_4103057,p_inc100k_4103057,temp_min_4103057,temp_max_4103057,umid_min_4103057,pressao_min_4103057,casos_4113403,casos_est_4113403,casos_est_min_4113403,casos_est_max_4113403,p_rt1_4113403,p_inc100k_4113403,temp_min_4113403,temp_max_4113403,umid_min_4113403,pressao_min_4113403,casos_4115804,casos_est_4115804,casos_est_min_4115804,casos_est_max_4115804,p_rt1_4115804,p_inc100k_4115804,temp_min_4115804,temp_max_4115804,umid_min_4115804,pressao_min_4115804
2010-01-03,0,0.0,0,0,0.0,0.0,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334,0,0.0,0,0,0.0,0.0,25.0,25.0,78.0,1014.0,0,0.0,0,0,0.0,0.0,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334,15,15.0,15,15,0.0,5.80837,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334,0,0.0,0,0,0.0,0.0,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334,0,0.0,0,0,0.0,0.0,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334,0,0.0,0,0,0.0,0.0,21.333333333333332,29.666666666666668,66.0,1011.3333333333334,3,3.0,3,3,0.0,6.441362,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334
2010-01-10,0,0.0,0,0,0.0,0.0,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286,0,0.0,0,0,0.0,0.0,22.0,29.0,61.57142857142857,1011.2857142857143,2,2.0,2,2,0.0,7.2526836,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286,29,29.0,29,29,0.0,11.229516,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286,1,1.0,1,1,0.0,4.2195873,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286,0,0.0,0,0,0.0,0.0,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286,0,0.0,0,0,0.0,0.0,22.428571428571427,29.428571428571427,67.57142857142857,1011.1428571428571,6,6.0,6,6,0.0,12.882724,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286
2010-01-17,0,0.0,0,0,0.0,0.0,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286,0,0.0,0,0,0.0,0.0,21.0,26.285714285714285,72.14285714285714,1013.2857142857143,0,0.0,0,0,0.0,0.0,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286,41,41.0,41,41,0.0,15.876212,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286,0,0.0,0,0,0.0,0.0,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286,0,0.0,0,0,0.0,0.0,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286,0,0.0,0,0,0.0,0.0,21.285714285714285,27.285714285714285,74.42857142857143,1012.8571428571429,3,3.0,3,3,0.0,6.441362,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286
2010-01-24,0,0.0,0,0,0.0,0.0,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286,0,0.0,0,0,0.0,0.0,19.714285714285715,26.714285714285715,63.285714285714285,1011.8571428571429,5,5.0,5,5,0.0,18.131708,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286,39,39.0,39,39,0.0,15.101763,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286,2,2.0,2,2,0.0,8.439175,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286,0,0.0,0,0,0.0,0.0,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286,0,0.0,0,0,0.0,0.0,21.0,29.428571428571427,67.85714285714286,1010.8571428571429,15,15.0,15,15,0.0,32.20681,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286
2010-01-31,0,0.0,0,0,0.0,0.0,19.857142857142858,31.428571428571427,43.285714285714285,1007.0,0,0.0,0,0,0.0,0.0,20.0,28.5,54.166666666666664,1011.1666666666666,0,0.0,0,0,0.0,0.0,19.857142857142858,31.428571428571427,43.285714285714285,1007.0,55,55.0,55,55,0.0,21.297358,19.857142857142858,31.428571428571427,43.285714285714285,1007.0,2,2.0,2,2,0.0,8.439175,19.857142857142858,31.428571428571427,43.285714285714285,1007.0,0,0.0,0,0,0.0,0.0,19.857142857142858,31.428571428571427,43.285714285714285,1007.0,0,0.0,0,0,0.0,0.0,19.857142857142858,27.714285714285715,69.0,1010.8571428571429,47,47.0,47,47,0.0,100.91467,19.857142857142858,31.428571428571427,43.285714285714285,1007.0
2010-02-07,0,0.0,0,0,0.5,0.0,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857,2,2.0,2,2,0.9779825,6.222969,23.833333333333332,32.833333333333336,44.166666666666664,862.1666666666666,0,0.0,0,0,0.0,0.0,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857,104,104.0,104,104,0.9999992,40.271366,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857,2,2.0,2,2,0.63296694,8.439175,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857,0,0.0,0,0,0.5,0.0,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857,0,0.0,0,0,0.5,0.0,21.714285714285715,32.57142857142857,46.285714285714285,1011.7142857142857,83,83.0,83,83,1.0,178.21101,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857
2010-02-14,0,0.0,0,0,0.5,0.0,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571,1,1.0,1,1,0.6887573,3.1114845,19.6,29.0,60.4,1010.4,7,7.0,7,7,0.97888297,25.384392,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571,117,117.0,117,117,0.99994624,45.305286,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571,0,0.0,0,0,0.0,0.0,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571,0,0.0,0,0,0.5,0.0,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571,0,0.0,0,0,0.5,0.0,20.714285714285715,27.857142857142858,65.14285714285714,1010.8571428571429,210,210.0,210,210,1.0,450.89536,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571
2010-02-21,0,0.0,0,0,0.5,0.0,21.714285714285715,29.571428571428573,55.714285714285715,1009.0,1,1.0,1,1,0.46851066,3.1114845,20.25,25.75,75.25,1014.25,6,6.0,6,6,0.9173179,21.75805,21.714285714285715,29.571428571428573,55.714285714285715,1009.0,206,206.0,206,206,1.0,79.76829,21.714285714285715,29.571428571428573,55.714285714285715,1009.0,15,15.0,15,15,0.9996361,63.293808,21.714285714285715,29.571428571428573,55.714285714285715,1009.0,2,2.0,2,2,0.9779825,26.5252,21.714285714285715,29.571428571428573,55.714285714285715,1009.0,2,2.0,2,2,0.9779825,50.955414,20.571428571428573,27.857142857142858,66.42857142857143,1013.4285714285714,194,194.0,194,194,0.9999998,416.5414,21.714285714285715,29.571428571428573,55.714285714285715,1009.0
2010-02-28,0,0.0,0,0,0.5,0.0,20.0,27.857142857142858,55.285714285714285,1009.8571428571429,3,3.0,3,3,0.8243167,9.334454,20.857142857142858,26.428571428571427,64.57142857142857,1014.1428571428571,16,16.0,16,16,0.993374,58.02147,20.0,27.857142857142858,55.285714285714285,1009.8571428571429,392,392.0,392,392,1.0,151.79207,20.0,27.857142857142858,55.285714285714285,1009.8571428571429,7,7.0,7,7,0.76757234,29.537111,20.0,27.857142857142858,55.285714285714285,1009.8571428571429,0,0.0,0,0,0.0,0.0,20.0,27.857142857142858,55.285714285714285,1009.8571428571429,1,1.0,1,1,0.6887573,25.477707,20.142857142857142,28.714285714285715,56.42857142857143,1012.1428571428571,212,212.0,212,212,0.9925436,455.1896,20.0,27.857142857142858,55.285714285714285,1009.8571428571429
2010-03-07,0,0.0,0,0,0.5,0.0,18.285714285714285,30.285714285714285,33.0,1010.0,0,0.0,0,0,0.0,0.0,20.0,28.0,55.714285714285715,884.2857142857143,33,33.0,33,33,0.9998911,119.66928,18.285714285714285,30.285714285714285,33.0,1010.0,558,558.0,558,558,1.0,216.07138,18.285714285714285,30.285714285714285,33.0,1010.0,27,27.0,27,27,0.9988591,113.928856,18.285714285714285,30.285714285714285,33.0,1010.0,2,2.0,2,2,0.77544796,26.5252,18.285714285714285,30.285714285714285,33.0,1010.0,4,4.0,4,4,0.9104489,101.91083,18.571428571428573,29.142857142857142,45.285714285714285,1011.5714285714286,206,206.0,206,206,0.7032252,442.30685,18.285714285714285,30.285714285714285,33.0,1010.0
2010-03-14,0,0.0,0,0,0.5,0.0,17.571428571428573,29.714285714285715,41.285714285714285,1006.7142857142857,0,0.0,0,0,0.0,0.0,19.142857142857142,27.285714285714285,59.857142857142854,1011.1428571428571,40,40.0,40,40,0.9980678,145.05367,17.571428571428573,29.714285714285715,41.285714285714285,1006.7142857142857,694,694.0,694,694,1.0,268.73392,17.571428571428573,29.714285714285715,41.285714285714285,1006.7142857142857,25,25.0,25,25,0.95852923,105.489685,17.571428571428573,29.714285714285715,41.285714285714285,1006.7142857142857,1,1.0,1,1,0.49247628,13.2626,17.571428571428573,29.714285714285715,41.285714285714285,1006.7142857142857,0,0.0,0,0,0.0,0.0,19.285714285714285,32.57142857142857,32.42857142857143,1008.7142857142857,148,148.0,148,148,0.0021908917,317.77386,17.571428571428573,29.714285714285715,41.285714285714285,1006.7142857142857
2010-03-21,0,0.0,0,0,0.5,0.0,19.428571428571427,29.857142857142858,45.57142857142857,1010.2857142857143,5,5.0,5,5,0.9657146,15.557423,20.285714285714285,27.857142857142858,55.142857142857146,1014.8571428571429,80,80.0,80,80,0.99999875,290.10733,19.428571428571427,29.857142857142858,45.57142857142857,1010.2857142857143,966,966.0,966,966,1.0,374.05905,19.428571428571427,29.857142857142858,45.57142857142857,1010.2857142857143,23,23.0,23,23,0.64518297,97.05051,19.428571428571427,29.857142857142858,45.57142857142857,1010.2857142857143,0,0.0,0,0,0.0,0.0,19.428571428571427,29.857142857142858,45.57142857142857,1010.2857142857143,2,2.0,2,2,0.48819754,50.955414,19.142857142857142,29.857142857142858,48.714285714285715,1013.0,97,97.0,97,97,4.6198508e-08,208.2707,19.428571428571427,29.857142857142858,45.57142857142857,1010.2857142857143
