,casos_2501807,p_rt1_2501807,Rt_2501807,p_inc100k_2501807,temp_min_2501807,temp_max_2501807,umid_min_2501807,umid_max_2501807,pressao_min_2501807,pressao_max_2501807,precip_tot_2501807,casos_2507507,p_rt1_2507507,Rt_2507507,p_inc100k_2507507,temp_min_2507507,temp_max_2507507,umid_min_2507507,umid_max_2507507,pressao_min_2507507,pressao_max_2507507,precip_tot_2507507,casos_2507705,p_rt1_2507705,Rt_2507705,p_inc100k_2507705,temp_min_2507705,temp_max_2507705,umid_min_2507705,umid_max_2507705,pressao_min_2507705,pressao_max_2507705,precip_tot_2507705,casos_2501302,p_rt1_2501302,Rt_2501302,p_inc100k_2501302,temp_min_2501302,temp_max_2501302,umid_min_2501302,umid_max_2501302,pressao_min_2501302,pressao_max_2501302,precip_tot_2501302,temp_mean_2501302,temp_amp_2501302,umid_mean_2501302,umid_amp_2501302,pressao_mean_2501302,temp_mean_2507705,temp_amp_2507705,umid_mean_2507705,umid_amp_2507705,pressao_mean_2507705,temp_mean_2507507,temp_amp_2507507,umid_mean_2507507,umid_amp_2507507,pressao_mean_2507507,temp_mean_2501807,temp_amp_2501807,umid_mean_2501807,umid_amp_2501807,pressao_mean_2501807
2015-12-27,0,0.0,0.0,0.0,23.604923714285714,28.380998714285713,67.97844214285715,89.68422614285714,0.9990576357142856,1.0021166714285714,1.0240557185714285,20,0.1773915,0.762633,2.4464502,24.507420142857143,27.650211857142857,72.8907992857143,87.29427228571429,0.9990183014285714,1.0019936428571428,1.2732442800000001,1,0.13685171,0.3485153,5.4650784,21.06391257142857,30.57465457142857,46.71910028571428,89.72216228571428,0.9987191085714286,1.0025208285714287,0.533718571,9,0.027841983,0.4779829,47.08098,21.730547142857144,28.704528571428572,58.05085771428571,91.03791142857143,0.9992375357142856,1.0029137142857143,0.5981442771428572,25.217537857142858,6.973981428571427,74.54438457142857,32.98705371428572,0.0018380892857143283,25.81928357142857,9.510742,68.22063128571428,43.00306199999999,0.0019008600000000042,26.078816,3.142791714285714,80.09253578571429,14.403472999999991,0.0014876707142856826,25.992961214285714,4.776074999999999,78.83133414285714,21.705783999999994,0.0015295178571428925
2016-01-03,0,0.0,0.0,0.0,23.837611714285714,29.754015142857146,66.44738414285715,91.486278,0.9986076714285714,1.001820542857143,2.419328645714286,32,0.7677016,1.2096936,3.9143205,24.83182628571429,28.597303285714286,72.45729371428571,88.46406528571428,0.9987170799999999,1.001682442857143,2.139121287142857,1,0.38978434,0.73569876,5.4650784,21.393489428571428,31.261374714285715,48.383030142857145,92.04113571428572,0.9984658171428572,1.0025945,0.48609431278571424,24,0.97726536,1.9648511,125.54928,21.978877571428573,30.66390571428571,53.44232571428571,93.59577014285715,0.9986255685714286,1.0026033,0.5966357142857143,26.321391642857144,8.685028142857139,73.51904792857142,40.15344442857144,0.001988865714285748,26.32743207142857,9.867885285714287,70.21208292857143,43.65810557142857,0.0020643414285714257,26.714564785714288,3.765476999999997,80.4606795,16.006771571428573,0.0014826814285714973,26.795813428571428,5.9164034285714315,78.96683107142857,25.038893857142853,0.0016064357142857588
2016-01-10,0,0.0,0.0,0.0,24.470594142857145,29.438786,72.53437100000001,92.73583928571429,0.9979715271428571,1.0009539428571428,1.5584557362857143,43,0.97234863,1.5856489,5.259868,25.373892714285716,28.37554957142857,77.55066828571428,89.41048514285714,0.9980021257142857,1.0008488714285715,1.8152699985714287,2,0.7667907,2.1325102,10.930157,22.482958142857143,31.471426714285716,48.936316999999995,91.97049514285716,0.99779589,1.0018009714285714,0.8960042864285713,30,0.9921157,2.1024523,156.9366,22.770459714285714,30.267046142857144,58.215718428571435,93.96106714285715,0.9981814242857142,1.0016907,1.2029514371428571,26.51875292857143,7.49658642857143,76.08839278571429,35.74534871428571,0.00175463785714286,26.977192428571428,8.988468571428573,70.45340607142857,43.034178142857165,0.0020025407142856833,26.874721142857144,3.001656857142855,83.48057671428572,11.85981685714286,0.0014233728571428905,26.954690071428573,4.968191857142855,82.63510514285716,20.201468285714284,0.001491207857142851
2016-01-17,0,0.0,0.0,0.0,24.459097857142858,29.552023571428574,71.85591285714285,92.96484271428572,0.9969557499999999,1.0000147857142856,0.8643199785714286,39,0.8004405,1.2208302,4.770578,25.300742000000003,28.577893857142858,76.40447857142858,90.10524714285714,0.9969890671428571,0.9998872714285715,0.9375385857142857,2,0.6840345,1.6039273,10.930157,22.434727285714285,30.81151485714286,53.508800428571426,92.40754828571428,0.9970329585714285,1.0009036857142857,0.7716370971428572,104,1.0,4.117542,544.0469,22.829524714285714,30.151785571428572,59.122466714285714,94.38530842857143,0.9972551528571428,1.0009115928571428,0.61022858,26.490655142857143,7.322260857142858,76.75388757142858,35.26284171428572,0.0018282199999999915,26.62312107142857,8.376787571428576,72.95817435714285,38.89874785714286,0.0019353635714285944,26.93931792857143,3.2771518571428544,83.25486285714285,13.700768571428554,0.001449102142857206,27.005560714285714,5.092925714285716,82.41037778571429,21.10892985714287,0.001529517857142837
2016-01-24,0,0.0,0.0,0.0,23.97816242857143,28.101741428571433,78.58930885714287,93.43959428571428,0.9973540914285713,1.0005029285714286,1.6410928714285713,59,0.9805465,1.5227953,7.217028,24.80353657142857,27.734824,80.56343857142858,91.54110085714285,0.9973625899999999,1.0004180142857142,1.4597499942857142,3,0.7381974,1.7239685,16.395235,21.92442542857143,27.474308571428573,68.23967742857143,95.31691257142857,0.9979059585714286,1.001380642857143,2.8973571000000002,106,0.99999815,2.1545048,554.50934,22.271615142857144,27.453116285714287,70.57735771428571,96.07170071428571,0.9978075428571429,1.0012916285714286,1.6446029442857142,24.862365714285716,5.181501142857144,83.32452921428572,25.494343,0.001742042857142856,24.699367000000002,5.549883142857144,81.778295,27.07723514285715,0.0017373421428572011,26.269180285714285,2.93128742857143,86.05226971428571,10.977662285714274,0.0015277121428571294,26.039951928571433,4.123579000000003,86.01445157142857,14.85028542857141,0.0015744185714286485
2016-01-31,1,0.9632679,18.521618,1.0287749,23.55542,29.675188285714285,65.48233471428571,90.32248200000001,0.9986021471428571,1.0016761285714286,2.0859557705714287,97,0.99998623,2.050846,11.865284,24.565765142857142,28.675593714285714,70.96503414285715,87.29510071428571,0.9986424828571429,1.0015606,1.891842875142857,2,0.46243873,0.91990083,10.930157,20.672066857142855,30.35528557142857,51.28278085714286,93.96373785714286,0.9983082542857142,1.0025294,0.7755957128714286,59,0.04415304,0.7475865,308.64197,21.450234571428574,29.753139,57.96494085714286,93.96368342857143,0.99880936,1.0025095,1.1898085757142858,25.601686785714286,8.302904428571427,75.96431214285714,35.99874257142857,0.0018500699999999815,25.513676214285713,9.683218714285715,72.62325935714286,42.680957,0.0021105728571428894,26.620679428571428,4.109828571428572,79.13006742857144,16.33006657142856,0.0014590585714285287,26.61530414285714,6.119768285714283,77.90240835714286,24.840147285714295,0.0015369907142857575
2016-02-07,11,0.9996784,13.15992,11.316524,23.545793714285715,30.006234428571428,62.10140071428572,90.98064285714285,0.9982570257142857,1.0013935142857142,0.4933528718571428,147,1.0,2.1990042,17.98141,24.765193285714286,29.00810457142857,68.16865642857144,88.22210700000001,0.9983897300000001,1.0012644428571429,0.5002642857142857,1,0.19871211,0.42895472,5.4650784,20.65260957142857,29.990334714285716,51.54859614285714,94.21666571428571,0.9982454214285715,1.002431957142857,0.3524785714285715,17,1.0714762e-12,0.20148322,88.93074,21.66282,30.23762285714286,51.210213714285715,92.17853142857143,0.9984857542857143,1.0023764285714285,0.20695427757142856,25.95022142857143,8.57480285714286,71.69437257142857,40.96831771428572,0.0019453371428571065,25.321472142857143,9.337725142857145,72.88263092857143,42.66806957142857,0.0020932678571427554,26.88664892857143,4.242911285714285,78.19538171428573,20.05345057142857,0.0014373564285714013,26.77601407142857,6.460440714285713,76.54102178571429,28.879242142857137,0.001568244285714282
2016-02-14,1,0.1154539,0.32106736,1.0287749,23.571851428571428,30.626661000000002,61.68976671428572,92.14831500000001,0.9984856485714285,1.0017830428571428,0.49970000571428574,187,0.9999998,1.8525819,22.87431,24.760254142857143,29.405892714285716,68.17167071428572,89.23315571428573,0.9985908142857143,1.0016606428571428,0.48871286428571425,6,0.9233118,2.7189994,32.79047,20.812072857142855,31.962515857142854,42.99581428571428,91.63189642857142,0.9983056714285714,1.0025883714285715,0.2888157028285714,159,1.0,2.350826,831.764,21.599770857142857,30.827663,50.987813,93.06901485714286,0.9986443528571429,1.0026472285714285,0.43388429300000003,26.21371692857143,9.227892142857144,72.02841392857144,42.08120185714286,0.002001437857142796,26.387294357142856,11.150443,67.31385535714286,48.63608214285714,0.002141350000000042,27.08307342857143,4.645638571428574,78.70241321428573,21.061485000000005,0.001534914285714284,27.099256214285717,7.054809571428574,76.91904085714286,30.458548285714294,0.0016486971428571473
2016-02-21,22,0.99919814,3.6302984,22.633047,24.064863,29.822531714285713,66.26606128571429,90.5620277142857,0.99739487,1.000461927142857,1.478059967142857,267,1.0,1.8395537,32.66011,24.98588342857143,28.767120428571427,71.79307571428572,88.84228771428572,0.9974818428571428,1.0003686042857143,1.9781300142857143,9,0.9675367,3.0082903,49.185703,21.080601142857144,31.20571,48.068257,91.85066357142857,0.9971250885714286,1.001324157142857,0.6211599999999999,53,0.077815875,0.77280694,277.25467,21.941580714285713,29.62007357142857,57.21237857142857,92.56310714285713,0.9976407757142857,1.0014347857142858,1.18360429,25.78082714285714,7.678492857142857,74.88774285714285,35.35072857142856,0.0018970050000000627,26.143155571428572,10.125108857142855,69.95946028571429,43.78240657142857,0.002099534285714244,26.87650192857143,3.7812369999999973,80.31768171428573,17.049211999999997,0.0014433807142857358,26.943697357142856,5.757668714285714,78.41404449999999,24.29596642857142,0.0015335285714284663
2016-02-28,31,0.9996288,3.0657594,31.89202,23.889557,29.955501,67.17966371428572,91.60201500000001,0.9974143785714286,1.0006253085714287,1.1336813685714286,291,0.9999923,1.4847443,35.59585,25.122645857142857,28.93599142857143,73.45990214285715,88.83439928571428,0.9974956428571428,1.0004842200000001,1.48913999,13,0.9617252,2.3062766,71.04601,21.053436142857144,31.59226328571429,46.01139057142857,92.82444857142858,0.9974120571428572,1.0015756142857142,0.7238971434285715,59,0.00943207,0.67641586,308.64197,22.01171457142857,30.353794571428573,55.12761871428571,91.96237071428573,0.9978580571428571,1.0014733714285715,0.4138943142857143,26.18275457142857,8.342080000000003,73.54499471428572,36.834752000000016,0.0018076571428571886,26.322849714285717,10.538827142857144,69.41791957142857,46.813058000000005,0.002081778571428494,27.02931864285714,3.8133455714285738,81.14715071428571,15.374497142857138,0.0014942885714286924,26.922529,6.065944000000002,79.39083935714287,24.422351285714285,0.0016054650000000836
