,casos_2611606,p_rt1_2611606,Rt_2611606,p_inc100k_2611606,temp_min_2611606,temp_max_2611606,umid_min_2611606,umid_max_2611606,pressao_min_2611606,pressao_max_2611606,precip_tot_2611606,casos_2609600,p_rt1_2609600,Rt_2609600,p_inc100k_2609600,temp_min_2609600,temp_max_2609600,umid_min_2609600,umid_max_2609600,pressao_min_2609600,pressao_max_2609600,precip_tot_2609600,temp_mean_2609600,temp_amp_2609600,umid_mean_2609600,umid_amp_2609600,pressao_mean_2609600,temp_mean_2611606,temp_amp_2611606,umid_mean_2611606,umid_amp_2611606,pressao_mean_2611606
2012-04-15,702,1.0416644e-05,0.80637974,42.456398,23.199924857142857,29.17715885714286,65.22771142857142,89.11155142857142,0.9980403014285714,1.0011960671428572,0.5249942900000001,41,0.004927537,0.6059622,10.429518,24.860473714285714,28.45915414285714,67.96533557142857,83.14226828571428,0.9979339971428571,1.000992542857143,0.6056128417142858,26.659813928571428,3.598680428571427,75.55380192857143,15.176932714285712,0.0015292728571428826,26.18854185714286,5.977234000000003,77.16963142857142,23.883839999999992,0.0015778828571429426
2012-04-22,531,1.0880186e-14,0.65588355,32.114456,23.624206428571426,30.10411285714286,59.70525457142857,89.18326514285715,0.9976788542857143,1.0011995142857142,0.29417,22,0.0012184168,0.47128588,5.596327,25.09376757142857,29.110268571428573,64.99922714285715,84.81162442857143,0.9977371757142857,1.0010139857142857,0.46652000000000005,27.102018071428574,4.016501000000002,74.9054257857143,19.812397285714283,0.0016384050000000094,26.864159642857143,6.479906428571432,74.44425985714287,29.478010571428584,0.0017603299999999211
2012-04-29,514,4.4101654e-08,0.7343331,31.08631,23.195765857142856,29.972464285714288,59.548573714285716,87.69321000000001,0.9977434314285715,1.0009655285714285,0.35603714285714283,29,0.18681821,0.80273205,7.376976,25.087145,28.783050428571432,64.74425871428572,83.11028214285714,0.9977936857142857,1.0007567714285714,0.4447342857142857,26.935097714285718,3.6959054285714323,73.92727042857143,18.366023428571424,0.001481542857142859,26.58411507142857,6.776698428571432,73.62089185714287,28.14463628571429,0.0016110485714285194
2012-05-06,365,1.8338664e-12,0.6322356,22.07491,23.32071342857143,29.329354428571428,62.38446028571429,85.87028199999999,0.9991840057142857,1.0022182857142856,0.5025928397142857,21,0.12160799,0.71969223,5.3419485,25.115434571428572,28.382005857142854,66.78622399999999,81.06303371428571,0.9991302742857143,1.0019929285714286,0.5987185885714286,26.74872021428571,3.2665712857142815,73.92462885714285,14.276809714285719,0.0014313271428571528,26.32503392857143,6.008640999999997,74.12737114285714,23.4858217142857,0.0015171399999999724
2012-05-13,315,1.7959607e-09,0.6551638,19.05095,22.552311428571425,29.021549571428572,62.153471714285715,87.00575428571427,0.9989673857142858,1.0020538142857143,0.4161485871285714,17,0.09840544,0.6724118,4.3244343,24.423911142857143,28.03821257142857,67.52878014285714,82.51503214285715,0.9989882342857143,1.001858142857143,0.5786513871428571,26.231061857142855,3.6143014285714266,75.02190614285715,14.986252000000007,0.0014349542857143294,25.786930499999997,6.469238142857147,74.579613,24.85228257142856,0.001543214285714245
2012-05-20,301,0.00019417708,0.76326466,18.204239,22.81634514285714,29.031115,62.36120257142857,88.85841657142858,0.9986481271428571,1.0020957285714285,0.37033428142857144,15,0.13117258,0.6914677,3.8156774,24.63278642857143,28.20366542857143,66.96025285714286,83.58505314285715,0.9986393785714286,1.0018756857142856,0.45299571071428574,26.41822592857143,3.5708790000000015,75.272653,16.624800285714286,0.0016181535714285267,25.923730071428572,6.2147698571428585,75.60980957142857,26.497214000000007,0.0017238007142856837
2012-05-27,255,0.00085070124,0.7708889,15.422196,22.481048714285716,27.153930714285714,77.7875427142857,93.14861714285713,1.0004593142857143,1.0033496142857143,1.9476971514285712,17,0.42681962,0.94028664,4.3244343,23.98554342857143,26.718728,79.89056028571429,89.03133285714286,1.0003338485714286,1.0030811714285714,2.5320371314285715,25.352135714285716,2.73318457142857,84.46094657142856,9.14077257142857,0.0013736614285714266,24.817489714285713,4.672881999999998,85.46807992857143,15.361074428571428,0.0014451500000000062
2012-06-03,187,1.040339e-06,0.64447635,11.30961,22.342150142857143,27.852177285714284,72.67533214285714,93.65650000000001,1.0007248042857142,1.004091242857143,0.8786914299999999,35,0.9934572,2.0154138,8.903247,23.896493142857143,27.225943714285712,75.80600857142858,89.24358571428571,1.0006254657142857,1.0038418999999998,1.0309128557142857,25.56121842857143,3.32945057142857,82.52479714285715,13.437577142857137,0.0016082171428570824,25.097163714285713,5.51002714285714,83.16591607142857,20.981167857142864,0.0016832192857143546
2012-06-10,307,0.9858492,1.2035365,18.567114,22.098183857142857,27.40360814285714,71.45496185714286,91.69909285714286,1.000835692857143,1.0038187857142857,0.8198042942857143,12,0.063453294,0.58413273,3.052542,23.989615285714283,27.08051,74.33827342857144,86.97072942857143,1.00067928,1.0035330714285713,1.0477371342857142,25.53506264285714,3.0908947142857173,80.65450142857144,12.63245599999999,0.0014268957142856697,24.750895999999997,5.305424285714285,81.57702735714287,20.244130999999996,0.0014915464285714108
2012-06-17,197,0.022141512,0.82453376,11.914403,21.446380428571427,26.581865857142855,73.72665342857142,91.68524000000001,1.0006354285714285,1.0036387142857142,1.170824282857143,20,0.32476276,0.8715353,5.0875697,23.25889814285714,26.30612628571429,75.33015285714285,87.64730642857144,1.000506307142857,1.003367057142857,1.5361699942857143,24.782512214285717,3.047228142857147,81.48872964285715,12.317153571428591,0.0014303749999999837,24.01412314285714,5.135485428571428,82.70594671428572,17.958586571428583,0.0015016428571428264
