data_iniSE,casos_3302601,casos_3302700,casos_3303401,casos_3303500,casos_3303609,casos_3303807,casos_3303906,casos_3304003,casos_3304102,casos_3304755,casos_3304805,casos_3303856,casos_3300456,casos_3301157,casos_3300100,casos_3300159,casos_3300209,casos_3300225,casos_3300233,casos_3300258,casos_3300308,casos_3302304,casos_3302403,casos_3300506,casos_3300902,casos_3300936,casos_3300951,casos_3303203,casos_3301207,casos_3301504,casos_3301603,casos_3301801,casos_3302452,casos_3301850,casos_3301876,casos_3302056,casos_3302254,casos_3303708,casos_3302270,casos_3302502,casos_3302809,casos_3302858,casos_3303005,casos_3303955,casos_3304110,casos_3304144,casos_3304151,casos_3304904,casos_3305000,casos_3305109,casos_3305133,casos_3305208,casos_3305505,casos_3305554,casos_3305752,casos_3306008,casos_3306305,casos_3304607,casos_3304706,casos_3300407,casos_3300605,casos_3300704,casos_3300803,casos_3301009,casos_3301108,casos_3301306,casos_3301405,casos_3301702,casos_3302908,casos_3301900,casos_3302007,casos_3302106,casos_3302205,casos_3303104,casos_3303302,casos_3304128,casos_3304201,casos_3304300,casos_3304409,casos_3304508,casos_3304524,casos_3304557,casos_3305158,casos_3305307,casos_3305406,casos_3305604,casos_3305703,casos_3305802,casos_3305901,casos_3306107,casos_3306156,casos_3306206
2010-04-04,7,2,4,19,4,207,2,0,4,1,25,0,36,1,48,0,15,0,0,4,1,9,91,0,1,0,0,1,0,2,0,0,0,2,3,3,0,0,0,16,0,0,2,1,0,5,1,114,2,9,1,47,5,1,71,2,7,0,19,9,0,12,53,155,5,7,2,79,0,97,19,2,75,29,46,0,3,33,0,0,9,80,3,0,0,11,0,0,0,48,0,32
2010-04-11,18,1,7,22,4,160,1,0,4,0,16,0,23,0,50,0,20,0,3,8,0,8,78,0,9,0,1,0,0,9,0,0,1,0,0,6,0,1,0,9,0,0,0,0,0,1,3,207,4,7,0,11,4,7,61,2,10,0,10,7,0,35,35,170,11,2,0,32,0,116,14,3,74,10,63,3,4,25,0,1,10,84,0,0,0,5,0,0,0,43,0,23
2010-04-18,8,3,10,8,0,112,4,1,2,1,28,0,26,0,58,0,30,0,3,4,0,15,73,0,4,0,0,0,0,2,0,0,2,0,6,13,0,0,0,16,1,2,0,0,0,2,4,210,10,12,0,8,5,7,53,2,11,0,12,7,0,86,32,209,17,1,0,66,0,86,21,11,86,18,66,1,2,18,2,2,13,92,0,0,0,6,0,1,0,54,0,42
2010-04-25,9,4,4,9,0,147,1,0,11,3,24,0,63,0,59,2,53,1,2,2,1,4,130,0,5,0,0,0,0,10,3,0,1,2,6,12,0,0,0,26,0,1,0,0,0,5,3,184,21,14,0,9,4,1,49,1,8,0,6,8,1,104,31,291,27,0,1,103,0,103,31,6,154,25,118,0,4,35,0,2,16,126,0,0,0,7,0,0,0,92,0,37
2010-05-02,11,9,10,13,1,83,3,2,3,0,23,0,43,1,97,4,51,0,2,2,3,0,174,0,2,0,0,5,3,10,2,0,2,2,12,19,0,1,0,18,0,0,0,0,0,4,3,197,21,13,0,9,3,0,45,1,9,0,15,7,1,122,17,312,14,0,0,114,0,93,19,0,144,15,139,0,3,17,0,1,17,137,0,1,0,1,0,0,0,88,0,37
2010-05-09,10,4,4,30,1,84,1,0,1,0,36,0,40,1,100,15,35,1,6,3,0,0,138,0,0,2,0,0,1,8,1,0,10,1,4,9,0,0,0,23,0,2,0,0,0,3,6,190,18,14,0,21,0,1,28,4,6,0,11,2,0,179,26,333,19,0,1,98,0,87,17,1,153,13,130,0,2,27,0,2,21,115,2,0,0,3,0,0,0,78,0,15
2010-05-16,10,4,3,16,0,45,6,0,3,3,30,0,32,5,93,12,28,0,3,1,1,0,164,0,2,2,0,1,1,8,1,0,6,0,3,16,1,0,0,19,0,2,0,1,0,6,7,147,16,19,1,19,2,1,20,2,6,0,8,6,0,195,24,300,21,0,0,82,0,116,15,1,156,18,124,0,4,27,0,4,15,115,0,1,0,1,0,0,0,45,0,22
2010-05-23,9,3,4,14,2,23,2,1,1,0,32,0,30,1,75,8,15,0,4,1,3,0,168,0,0,0,0,1,0,4,0,0,6,6,7,12,0,0,0,12,0,0,1,0,0,5,4,118,27,23,0,5,0,0,23,1,7,0,1,4,4,139,3,287,7,0,1,66,0,88,8,2,126,7,85,0,2,28,0,3,17,102,0,0,0,2,0,0,0,37,0,7
2010-05-30,2,3,3,22,0,12,4,0,2,1,10,0,49,1,74,3,27,0,4,0,0,0,74,0,0,4,0,0,0,2,0,0,10,1,5,8,0,0,0,12,0,1,0,0,0,1,1,98,13,21,0,16,1,1,11,0,4,0,4,2,1,112,1,238,16,0,0,67,0,88,6,0,94,0,75,0,5,14,0,1,29,86,0,1,0,2,0,0,0,42,0,7
2010-06-06,4,4,3,16,0,10,3,0,2,5,9,0,33,0,65,0,31,0,1,0,0,0,70,0,0,3,0,0,0,0,0,0,10,5,3,7,0,1,1,15,0,4,0,1,0,1,5,63,5,27,0,3,0,4,11,1,5,0,2,3,2,75,1,229,6,0,0,44,0,89,6,0,81,3,52,0,0,10,0,0,16,54,0,1,0,0,0,0,0,24,0,3
