,casos_3303203,casos_est_3303203,casos_est_min_3303203,casos_est_max_3303203,p_rt1_3303203,p_inc100k_3303203,temp_min_3303203,temp_max_3303203,umid_min_3303203,pressao_min_3303203,casos_3303500,casos_est_3303500,casos_est_min_3303500,casos_est_max_3303500,p_rt1_3303500,p_inc100k_3303500,temp_min_3303500,temp_max_3303500,umid_min_3303500,pressao_min_3303500,casos_3302858,casos_est_3302858,casos_est_min_3302858,casos_est_max_3302858,p_rt1_3302858,p_inc100k_3302858,temp_min_3302858,temp_max_3302858,umid_min_3302858,pressao_min_3302858,casos_3304144,casos_est_3304144,casos_est_min_3304144,casos_est_max_3304144,p_rt1_3304144,p_inc100k_3304144,temp_min_3304144,temp_max_3304144,umid_min_3304144,pressao_min_3304144,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557
2010-01-03,0,0.0,0,0,0.0,0.0,24.333333333333332,33.0,42.0,1009.6666666666666,0,0.0,0,0,0.0,0.0,24.333333333333332,33.0,42.0,1009.6666666666666,0,0.0,0,0,0.0,0.0,18.333333333333332,28.666666666666668,51.0,1018.3333333333334,0,0.0,0,0,0.0,0.0,23.666666666666668,34.333333333333336,45.333333333333336,1010.0,0,0.0,0,0,0.0,0.0,24.333333333333332,33.0,42.0,1009.6666666666666
2010-01-10,0,0.0,0,0,0.0,0.0,25.428571428571427,34.0,43.285714285714285,1008.0,0,0.0,0,0,0.0,0.0,25.428571428571427,34.0,43.285714285714285,1008.0,0,0.0,0,0,0.0,0.0,17.857142857142858,29.285714285714285,48.57142857142857,1017.4285714285714,0,0.0,0,0,0.0,0.0,24.714285714285715,36.285714285714285,41.142857142857146,1007.8571428571429,0,0.0,0,0,0.0,0.0,25.428571428571427,34.0,43.285714285714285,1008.0
2010-01-17,0,0.0,0,0,0.0,0.0,24.142857142857142,34.0,43.857142857142854,1010.2857142857143,0,0.0,0,0,0.0,0.0,24.142857142857142,34.0,43.857142857142854,1010.2857142857143,0,0.0,0,0,0.0,0.0,18.428571428571427,30.0,49.857142857142854,1019.0,0,0.0,0,0,0.0,0.0,24.142857142857142,35.57142857142857,43.57142857142857,1010.2857142857143,0,0.0,0,0,0.0,0.0,24.142857142857142,34.0,43.857142857142854,1010.2857142857143
2010-01-24,0,0.0,0,0,0.0,0.0,23.714285714285715,34.285714285714285,39.285714285714285,1009.0,0,0.0,0,0,0.0,0.0,23.714285714285715,34.285714285714285,39.285714285714285,1009.0,0,0.0,0,0,0.0,0.0,18.714285714285715,29.0,54.714285714285715,1018.2857142857143,0,0.0,0,0,0.0,0.0,24.142857142857142,35.857142857142854,40.714285714285715,1009.2857142857143,0,0.0,0,0,0.0,0.0,23.714285714285715,34.285714285714285,39.285714285714285,1009.0
2010-01-31,0,0.0,0,0,0.0,0.0,23.857142857142858,33.857142857142854,41.285714285714285,1009.8571428571429,0,0.0,0,0,0.0,0.0,23.857142857142858,33.857142857142854,41.285714285714285,1009.8571428571429,0,0.0,0,0,0.0,0.0,18.285714285714285,28.142857142857142,51.57142857142857,1019.1428571428571,0,0.0,0,0,0.0,0.0,23.571428571428573,35.285714285714285,41.57142857142857,1009.7142857142857,0,0.0,0,0,0.0,0.0,23.857142857142858,33.857142857142854,41.285714285714285,1009.8571428571429
2010-02-07,0,0.0,0,0,0.5,0.0,25.142857142857142,37.0,30.142857142857142,1009.1428571428571,0,0.0,0,0,0.5,0.0,25.142857142857142,37.0,30.142857142857142,1009.1428571428571,0,0.0,0,0,0.5,0.0,18.285714285714285,30.714285714285715,43.42857142857143,1019.2857142857143,0,0.0,0,0,0.5,0.0,24.857142857142858,38.42857142857143,30.0,1009.2857142857143,0,0.0,0,0,0.5,0.0,25.142857142857142,37.0,30.142857142857142,1009.1428571428571
2010-02-14,0,0.0,0,0,0.5,0.0,24.714285714285715,36.42857142857143,29.714285714285715,1008.7142857142857,0,0.0,0,0,0.5,0.0,24.714285714285715,36.42857142857143,29.714285714285715,1008.7142857142857,0,0.0,0,0,0.5,0.0,17.714285714285715,31.142857142857142,43.0,1018.2857142857143,0,0.0,0,0,0.5,0.0,24.571428571428573,37.714285714285715,33.142857142857146,1008.8571428571429,0,0.0,0,0,0.5,0.0,24.714285714285715,36.42857142857143,29.714285714285715,1008.7142857142857
2010-02-21,0,0.0,0,0,0.5,0.0,24.428571428571427,34.285714285714285,40.142857142857146,1011.0,0,0.0,0,0,0.5,0.0,24.428571428571427,34.285714285714285,40.142857142857146,1011.0,0,0.0,0,0,0.5,0.0,17.857142857142858,29.142857142857142,52.285714285714285,1019.2857142857143,0,0.0,0,0,0.5,0.0,24.285714285714285,35.42857142857143,42.857142857142854,1011.0,0,0.0,0,0,0.5,0.0,24.428571428571427,34.285714285714285,40.142857142857146,1011.0
2010-02-28,0,0.0,0,0,0.5,0.0,23.285714285714285,32.142857142857146,46.42857142857143,1010.1428571428571,0,0.0,0,0,0.5,0.0,23.285714285714285,32.142857142857146,46.42857142857143,1010.1428571428571,0,0.0,0,0,0.5,0.0,18.285714285714285,27.571428571428573,57.42857142857143,1018.1428571428571,0,0.0,0,0,0.5,0.0,23.428571428571427,33.714285714285715,47.0,1010.0,0,0.0,0,0,0.5,0.0,23.285714285714285,32.142857142857146,46.42857142857143,1010.1428571428571
2010-03-07,0,0.0,0,0,0.5,0.0,21.571428571428573,26.428571428571427,69.0,1010.5714285714286,0,0.0,0,0,0.5,0.0,21.571428571428573,26.428571428571427,69.0,1010.5714285714286,0,0.0,0,0,0.5,0.0,16.428571428571427,24.428571428571427,73.0,1016.7142857142857,0,0.0,0,0,0.5,0.0,21.714285714285715,27.714285714285715,67.42857142857143,1010.7142857142857,0,0.0,0,0,0.5,0.0,21.571428571428573,26.428571428571427,69.0,1010.5714285714286
