,casos_2312403,casos_est_2312403,casos_est_min_2312403,casos_est_max_2312403,p_rt1_2312403,p_inc100k_2312403,temp_min_2312403,temp_max_2312403,umid_min_2312403,pressao_min_2312403,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709
2016-04-24,99,99.0,99,99,1.6125972e-08,202.58241,25.285714285714285,28.571428571428573,71.85714285714286,1009.8571428571429,207,207.0,207,207,0.99278384,56.67941,25.285714285714285,28.571428571428573,71.85714285714286,1009.8571428571429
2016-05-01,71,71.0,71,71,7.6960845e-08,145.28638,25.857142857142858,28.0,73.85714285714286,1009.5714285714286,215,215.0,215,215,0.96163213,58.869915,25.857142857142858,28.0,73.85714285714286,1009.5714285714286
2016-05-08,56,56.0,56,56,7.7100296e-05,114.59207,25.571428571428573,27.571428571428573,74.85714285714286,1011.4285714285714,207,207.0,207,207,0.70136833,56.67941,25.571428571428573,27.571428571428573,74.85714285714286,1011.4285714285714
2016-05-15,74,74.0,74,74,0.3882427,151.42523,25.428571428571427,27.571428571428573,81.85714285714286,1011.7142857142857,274,274.0,274,274,0.9980832,75.02492,25.428571428571427,27.571428571428573,81.85714285714286,1011.7142857142857
2016-05-22,32,32.0,32,32,0.0003300405,65.481186,25.571428571428573,27.857142857142858,72.85714285714286,1012.4285714285714,281,281.0,281,281,0.99068445,76.94161,25.571428571428573,27.857142857142858,72.85714285714286,1012.4285714285714
2016-05-29,39,39.0,39,39,0.030721912,79.80519,25.714285714285715,27.571428571428573,73.0,1013.4285714285714,247,247.0,247,247,0.38942873,67.63195,25.714285714285715,27.571428571428573,73.0,1013.4285714285714
2016-06-05,23,23.0,23,23,0.003701432,47.0646,26.0,27.571428571428573,76.71428571428571,1010.4285714285714,233,233.0,233,233,0.08939337,63.79856,26.0,27.571428571428573,76.71428571428571,1010.4285714285714
2016-06-12,39,39.0,39,39,0.6702569,79.80519,25.0,27.714285714285715,75.14285714285714,1013.5714285714286,243,243.0,243,243,0.3465383,66.5367,25.0,27.714285714285715,75.14285714285714,1013.5714285714286
2016-06-19,35,35.0,35,35,0.6437748,71.62005,24.714285714285715,27.571428571428573,69.42857142857143,1014.7142857142857,201,201.0,201,201,0.035568334,55.036526,24.714285714285715,27.571428571428573,69.42857142857143,1014.7142857142857
2016-06-26,43,43.0,43,43,0.84410894,87.99034,25.285714285714285,27.428571428571427,66.42857142857143,1013.2857142857143,205,205.0,205,205,0.1378627,56.131783,25.285714285714285,27.428571428571427,66.42857142857143,1013.2857142857143
2016-07-03,18,18.0,18,18,0.005934598,36.833168,23.714285714285715,27.0,61.142857142857146,1014.1428571428571,187,187.0,187,187,0.10156729,51.203136,23.714285714285715,27.0,61.142857142857146,1014.1428571428571
2016-07-10,19,19.0,19,19,0.022946961,38.87945,24.714285714285715,27.142857142857142,68.57142857142857,1014.2857142857143,140,140.0,140,140,0.00085320155,38.3339,24.714285714285715,27.142857142857142,68.57142857142857,1014.2857142857143
2016-07-17,19,19.0,19,19,0.17014089,38.87945,24.714285714285715,27.285714285714285,69.57142857142857,1012.2857142857143,135,135.0,135,135,0.008148463,36.964832,24.714285714285715,27.285714285714285,69.57142857142857,1012.2857142857143
2016-07-24,9,9.0,9,9,0.021617675,18.416584,24.428571428571427,26.857142857142858,69.85714285714286,1013.2857142857143,83,83.0,83,83,4.448478e-06,22.726526,24.428571428571427,26.857142857142858,69.85714285714286,1013.2857142857143
2016-07-31,6,6.0,6,6,0.014248892,12.277722,23.571428571428573,26.857142857142858,63.285714285714285,1012.4285714285714,99,99.0,99,99,0.045385525,27.107544,23.571428571428573,26.857142857142858,63.285714285714285,1012.4285714285714
2016-08-07,7,7.0,7,7,0.15931751,14.324009,23.857142857142858,27.428571428571427,60.714285714285715,1013.5714285714286,78,78.0,78,78,0.034312975,21.357458,23.857142857142858,27.428571428571427,60.714285714285715,1013.5714285714286
2016-08-14,9,9.0,9,9,0.6117208,18.416584,24.285714285714285,26.428571428571427,66.14285714285714,1013.4285714285714,70,70.0,70,70,0.054824285,19.16695,24.285714285714285,26.428571428571427,66.14285714285714,1013.4285714285714
2016-08-21,10,10.0,10,10,0.7270985,20.46287,24.571428571428573,26.571428571428573,72.0,1013.0,68,68.0,68,68,0.14654021,18.619322,24.571428571428573,26.571428571428573,72.0,1013.0
2016-08-28,9,9.0,9,9,0.543183,18.416584,24.428571428571427,26.857142857142858,63.142857142857146,1012.8571428571429,57,57.0,57,57,0.091482796,15.607373,24.428571428571427,26.857142857142858,63.142857142857146,1012.8571428571429
2016-09-04,12,12.0,12,12,0.7171013,24.555445,24.857142857142858,28.285714285714285,58.285714285714285,1012.2857142857143,46,46.0,46,46,0.034760367,12.595424,24.857142857142858,28.285714285714285,58.285714285714285,1012.2857142857143
2016-09-11,10,10.0,10,10,0.5025977,20.46287,25.0,26.428571428571427,65.71428571428571,1013.8571428571429,49,49.0,49,49,0.21457615,13.416864,25.0,26.428571428571427,65.71428571428571,1013.8571428571429
2016-09-18,15,15.0,15,15,0.801722,30.694305,25.0,26.714285714285715,68.57142857142857,1013.1428571428571,57,57.0,57,57,0.71660614,15.607373,25.0,26.714285714285715,68.57142857142857,1013.1428571428571
2016-09-25,13,13.0,13,13,0.6003866,26.60173,25.571428571428573,27.142857142857142,69.14285714285714,1013.0,43,43.0,43,43,0.22733943,11.773983,25.571428571428573,27.142857142857142,69.14285714285714,1013.0
2016-10-02,9,9.0,9,9,0.20701478,18.416584,25.571428571428573,28.0,64.57142857142857,1011.4285714285714,32,32.0,32,32,0.025373532,8.762034,25.571428571428573,28.0,64.57142857142857,1011.4285714285714
2016-10-09,7,7.0,7,7,0.1203493,14.324009,25.285714285714285,28.428571428571427,64.28571428571429,1009.5714285714286,29,29.0,29,29,0.04676106,7.9405932,25.285714285714285,28.428571428571427,64.28571428571429,1009.5714285714286
2016-10-16,3,3.0,3,3,0.025866412,6.138861,25.428571428571427,27.571428571428573,61.57142857142857,1011.2857142857143,32,32.0,32,32,0.34647217,8.762034,25.428571428571427,27.571428571428573,61.57142857142857,1011.2857142857143
