"Low","Median","High","uf","macroregional","macroregional_id","dummyweeks","SE","pop","LowCases","MedianCases","HighCases"
22.2708168281746,34.3413959885051,52.9541187257826,"Acre","Acre",1201,13,1,894470,199.205775282973,307.173484698381,473.658705766508
34.2237144448808,58.3420837828574,99.4573147694986,"Acre","Acre",1201,14,2,894470,306.120858595126,521.852436812525,889.615843418734
38.3460460001761,63.8356849401074,106.268966342813,"Acre","Acre",1201,15,3,894470,342.993877657775,570.991051083779,950.544023246556
44.4279542684122,69.9751316808897,110.212570765142,"Acre","Acre",1201,16,4,894470,397.394722544667,625.906560346054,985.818381722963
39.0730409959745,64.2543366380332,105.664152867422,"Acre","Acre",1201,17,5,894470,349.496629796693,574.735764926215,945.134148153228
40.3641732101847,65.6290653173427,106.707851836817,"Acre","Acre",1201,18,6,894470,361.04542011314,587.032300544035,954.469722324781
40.4471477659845,64.4509535781639,102.700082615665,"Acre","Acre",1201,19,7,894470,361.787602622402,576.494444470602,918.621428972341
40.1306513043456,67.2852452600388,112.814122934838,"Acre","Acre",1201,20,8,894470,358.95663672198,601.846333277469,1009.08848541525
34.8123054760986,64.9120731964809,121.037006571089,"Acre","Acre",1201,21,9,894470,311.385628792059,580.619021120563,1082.63971267642
38.9772048534358,68.0884982649874,118.942433491932,"Acre","Acre",1201,22,10,894470,348.639404252527,609.031190430833,1063.90438485528
35.8295361467478,61.6321239372616,106.016407398084,"Acre","Acre",1201,23,11,894470,320.484451971815,551.280858981624,948.284959253639
33.0446702418916,56.8899774516345,97.9422554607467,"Acre","Acre",1201,24,12,894470,295.574661912648,508.863781311636,876.064092419741
24.2108363411262,36.6808145819413,55.5735514228905,"Acre","Acre",1201,25,13,894470,216.558667820471,328.098882191091,497.088745412329
26.2949248354369,39.264123989465,58.6299996029051,"Acre","Acre",1201,26,14,894470,235.200214175532,351.205809848568,524.427757448105
23.5142717335701,36.6831965846055,57.227241690147,"Acre","Acre",1201,27,15,894470,210.328106375265,328.12018849032,511.880508745858
20.8812288461317,33.4523494001088,53.5916582607767,"Acre","Acre",1201,28,16,894470,186.776327659994,299.221229679153,479.361305645169
19.1110807582132,29.6733173584472,46.073049148553,"Acre","Acre",1201,29,17,894470,170.94288405799,265.418921776103,412.109602719062
16.6232422264095,25.9250191240823,40.431740537129,"Acre","Acre",1201,30,18,894470,148.689914742565,231.891518559179,361.649789582458
15.8136499334733,23.2781227198675,34.2660296415324,"Acre","Acre",1201,31,19,894470,141.448354559939,208.215824292399,306.499355334615
13.3782305609313,20.0866287503156,30.158895282555,"Acre","Acre",1201,32,20,894470,119.664258898362,179.668868182948,269.76227063387
12.5775692495958,19.0793580941166,28.9421507494568,"Acre","Acre",1201,33,21,894470,112.50258366686,170.659134344445,258.878855808666
11.7464416531375,18.1011443836676,27.8936751804205,"Acre","Acre",1201,34,22,894470,105.068396654819,161.909306168591,249.500556386307
10.9803558063003,16.3584911470512,24.3708161492004,"Acre","Acre",1201,35,23,894470,98.2159885806146,146.321795763029,217.989639209753
9.03349944155477,14.3524646666576,22.8032606123901,"Acre","Acre",1201,36,24,894470,80.801942454875,128.378490703852,203.968325199646
9.64878075878561,14.7525252031532,22.5559068353278,"Acre","Acre",1201,37,25,894470,86.3054492531097,131.956912184645,201.755819869956
8.63634146265351,13.4780285694858,21.0340518500136,"Acre","Acre",1201,38,26,894470,77.2494834809968,120.55692214548,188.143283582817
8.71604936529723,14.1816360860329,23.0745368282814,"Acre","Acre",1201,39,27,894470,77.9624467577742,126.850480298738,206.394809567929
8.94823396259658,15.3939090713178,26.4825928207218,"Acre","Acre",1201,40,28,894470,80.0392683252377,137.693898470216,236.87884800351
7.84500191532393,13.2985287001881,22.54312586518,"Acre","Acre",1201,41,29,894470,70.1711886319979,118.951349664572,201.641497926276
7.95931414899243,13.0390594599461,21.3607690835436,"Acre","Acre",1201,42,30,894470,71.1936772684926,116.630475151379,191.065671221573
9.08653473528197,14.3774699824961,22.7492271938322,"Acre","Acre",1201,43,31,894470,81.2763272466766,128.602155752433,203.485012480671
5.91880182715487,10.6425376559835,19.1362392366956,"Acre","Acre",1201,44,32,894470,52.9419067033521,95.1943065714755,171.167919100471
7.25044152947578,12.0013457320467,19.8653142425287,"Acre","Acre",1201,45,33,894470,64.853024348702,107.348437169438,177.689276305146
5.32607604096247,8.78647848864852,14.4951374403457,"Acre","Acre",1201,46,34,894470,47.640152363597,78.5924141374144,129.65465586266
5.06180239373914,8.51591495614253,14.3270720385987,"Acre","Acre",1201,47,35,894470,45.2763038712785,76.1723045082081,128.151361263654
3.92183898698746,6.27398413044319,10.0368416448655,"Acre","Acre",1201,48,36,894470,35.0796731869067,56.1189058515752,89.7765374608289
6.20801323003796,8.89786657304276,12.7531992310505,"Acre","Acre",1201,49,37,894470,55.5288159387206,79.5887471358956,114.073541161978
5.05759868581397,8.09746114471643,12.9644285882362,"Acre","Acre",1201,50,38,894470,45.2387029650002,72.4293607011451,115.962924393196
5.1389788819507,8.52512760973324,14.1424595102925,"Acre","Acre",1201,51,39,894470,45.9666244053844,76.2547089307809,126.500057581713
7.06892374468128,10.4124090303949,15.3373081578118,"Acre","Acre",1201,52,40,894470,63.2294022190506,93.1358750541736,137.18762027918
5.27020084317322,9.85192009845361,18.4168179761198,"Acre","Acre",1201,1,41,894470,47.1403654819315,88.122469704638,164.732911750999
7.22636812053628,11.5114693599522,18.337555548621,"Acre","Acre",1201,2,42,894470,64.6376949277609,102.966639983964,164.02393311575
