Low,Median,High,UF,SE,UF_id,pop,LowCases,MedianCases,HighCases
24.0070591341046,37.0186657545833,57.0824442341955,Acre,1,AC,894470.0,214.73594183682542,331.12085957502126,510.58533894160854
36.89180970801,62.8904573275476,107.211049123712,Acre,2,AC,894470.0,329.98617029523706,562.536273657715,958.9706710968667
41.3355199761111,68.8123419561545,114.553739936677,Acre,3,AC,894470.0,369.7338255303209,615.5057550952151,1024.648837611595
47.8915763870745,75.4304225633366,118.80478942888,Acre,4,AC,894470.0,428.37578330946525,674.702500702277,1062.673200004503
42.1191918094788,69.2636319176427,113.90177494676,Acre,5,AC,894470.0,376.74353497824507,619.5424084137386,1018.8172063662842
43.5109812375738,70.7455350266378,115.02684112955,Acre,6,AC,894470.0,389.19267387572637,632.797587152767,1028.8805858514859
43.6004245248623,69.475577197643,110.70662452365,Acre,7,AC,894470.0,389.99271724753584,621.4381953597574,990.2375443766922
43.2592538651184,72.5308314586359,121.60915970682,Acre,8,AC,894470.0,386.94104804732456,648.7665281480605,1087.7574508295927
37.5262875451395,69.9726458965706,130.473102831645,Acre,9,AC,894470.0,335.66138420500937,625.884325751055,1167.042762898215
42.0158842407056,73.3967064078229,128.21523594872,Acre,10,AC,894470.0,375.81947976783937,656.5115198060536,1146.8468209905157
38.6228219494101,66.4369904048813,114.281491389722,Acre,11,AC,894470.0,345.4695554908886,594.2589480745418,1022.2136560336464
35.6208467199316,61.3251441721463,105.577875150009,Acre,12,AC,894470.0,318.61778765577213,548.5350170765971,944.3624198542856
26.0983233893889,39.5404664117104,59.906089013031,Acre,13,AC,894470.0,233.44167322106688,353.677609912826,535.8419943948584
28.3448883047955,42.3251717140167,63.2008191867851,Acre,14,AC,894470.0,253.53652241990432,378.58596343036515,565.3123673800367
25.3474543102105,39.5430341163104,61.6887016734385,Acre,15,AC,894470.0,226.72537456853985,353.70057726016165,551.7869298584054
22.5091382848459,36.0603087178714,57.769686621173,Acre,16,AC,894470.0,201.3374892164611,322.5486433887443,516.7325159204062
20.6009887027875,31.9866617387865,49.6649235603487,Acre,17,AC,894470.0,184.26966364982337,286.1110932549236,444.237841770251
17.9191972260798,27.9461445876231,43.5838161419241,Acre,18,AC,894470.0,160.28184342811596,249.96987949291233,389.8441602446685
17.0464887753306,25.0928950194508,36.9374238153022,Acre,19,AC,894470.0,152.47572814869963,224.4484180804816,330.39417480073365
14.4212030777269,21.6525908292496,32.5100955233761,Acre,20,AC,894470.0,128.9933351693438,193.67592919038893,290.7930514279422
13.558121871684,20.5667929263714,31.1984930714968,Acre,21,AC,894470.0,121.27333270565188,183.96379268851425,279.06116097661743
12.6621992160355,19.512317261032,30.0682779033367,Acre,22,AC,894470.0,113.25957332767274,174.53182420475292,268.9517253619758
11.8363889923371,17.6338060405202,26.2707752910112,Acre,23,AC,894470.0,105.87294861975766,157.72910489064103,234.9842037455079
9.73775488139928,15.471388886675,24.5810124610916,Acre,24,AC,894470.0,87.10129608765213,138.38693217464186,219.86978216072603
10.401003790536,15.9026383119194,24.3143748788783,Acre,25,AC,894470.0,93.03385860520736,142.24432890862545,217.48478897910275
9.30963429836786,14.5287813812673,22.673875434792,Acre,26,AC,894470.0,83.27188590861098,129.95559082102162,202.811013601584
9.39555626283764,15.2872424376025,24.87343748559,Acre,27,AC,894470.0,84.04043210420384,136.7397974316231,222.48543627735685
9.64584206961335,16.5940247379083,28.5471869656427,Acre,28,AC,894470.0,86.27916356007053,148.42857307316837,255.34602325158428
8.45660158499819,14.3352876261867,24.3005974988884,Acre,29,AC,894470.0,75.6417641973333,128.2248472299522,217.3615544483071
8.57982564878553,14.0555900541565,23.0260636821293,Acre,30,AC,894470.0,76.74396648069192,125.72303635741365,205.96123181754194
9.79492482907236,15.4983436275197,24.5227665743536,Acre,31,AC,894470.0,87.61266411860352,138.62803424507547,219.34879017762066
6.38023412270145,11.4722343960418,20.6281085469005,Acre,32,AC,894470.0,57.069280157327654,102.61569500227509,184.51224251946087
7.81568901982477,12.9369757248233,21.4140225487655,Acre,33,AC,894470.0,69.90899357562662,115.71736676582698,191.5420074919428
5.74129918334944,9.47147607045415,15.6251844901854,Acre,34,AC,894470.0,51.354198805305735,84.71951200739123,139.76258770936136
5.45642265073616,9.17981929043941,15.4440166385854,Acre,35,AC,894470.0,48.80606368403973,82.11072960719339,138.14209562715482
4.22758721431063,6.76310658868317,10.8193180675395,Acre,36,AC,894470.0,37.8144993558443,60.49395950379435,96.77555431872057
6.69199256896052,9.59154801705218,13.7474440408274,Acre,37,AC,894470.0,59.857865931581166,85.79351954812662,122.96676271198884
5.45189121996195,8.72874264276616,13.9751409281009,Acre,38,AC,894470.0,48.765531395193655,78.07598431675048,125.00344305958413
5.53961585063323,9.18975016640325,15.2450116394362,Acre,39,AC,894470.0,49.550201899159056,82.19955831342716,136.362055611265
7.62002003170125,11.2241648454016,16.5330111932295,Acre,40,AC,894470.0,68.15879317755817,100.39678729266367,147.8828252200799
5.68106793149166,10.6199799591022,19.852600900359,Acre,41,AC,894470.0,50.81544832681346,94.99253474018144,177.57555927344114
7.78973883773541,12.4089083834226,19.767159140465,Acre,42,AC,894470.0,69.67687698189191,110.99396281720014,176.8113083637173
6.9221287236212,12.7740592540033,23.5731804969127,Acre,43,AC,894470.0,61.91636479417454,114.2601278092833,210.855027590735
7.26594551105929,12.9557128500221,23.1009846133235,Acre,44,AC,894470.0,64.99170281277203,115.88496472959268,206.6313770707947
9.49987698743734,15.2940506651447,24.622212062044,Acre,45,AC,894470.0,84.97354968953077,136.8006949845198,220.23830023136497
