geocode,name_muni,name_region,code_region,name_macro,code_macro,state
3300506,Bom Jardim,Serrana,33009,Macrorregião II,3311,RJ
3300902,Cambuci,Noroeste,33007,Macrorregião III,3310,RJ
3300936,Carapebus,Norte,33008,Macrorregião III,3310,RJ
3300951,Comendador Levy Gasparian,Centro Sul,33003,Macrorregião I,3312,RJ
2701308,Cajueiro,4ª Região de Saúde,27004,1ª Macrorregião de Saúde,2704,AL
3303203,Nilópolis,Metropolitana I,33005,Macrorregião II,3311,RJ
3301207,Carmo,Serrana,33009,Macrorregião II,3311,RJ
3301504,Cordeiro,Serrana,33009,Macrorregião II,3311,RJ
3301603,Duas Barras,Serrana,33009,Macrorregião II,3311,RJ
3301801,Engenheiro Paulo de Frontin,Centro Sul,33003,Macrorregião I,3312,RJ
3302452,Macuco,Serrana,33009,Macrorregião II,3311,RJ
3301850,Guapimirim,Serrana,33009,Macrorregião II,3311,RJ
3301876,Iguaba Grande,Baixada Litorânea,33002,Macrorregião III,3310,RJ
3302056,Italva,Noroeste,33007,Macrorregião III,3310,RJ
3302254,Itatiaia,Médio Paraíba,33004,Macrorregião I,3312,RJ
3303708,Paraíba do Sul,Centro Sul,33003,Macrorregião I,3312,RJ
3302270,Japeri,Metropolitana I,33005,Macrorregião II,3311,RJ
3302502,Magé,Metropolitana I,33005,Macrorregião II,3311,RJ
3302809,Mendes,Centro Sul,33003,Macrorregião I,3312,RJ
3302858,Mesquita,Metropolitana I,33005,Macrorregião II,3311,RJ
3303005,Miracema,Noroeste,33007,Macrorregião III,3310,RJ
3303955,Pinheiral,Médio Paraíba,33004,Macrorregião I,3312,RJ
2407104,Macaíba,Metropolitana,24007,Macrorregião I,2402,RN
3304110,Porto Real,Médio Paraíba,33004,Macrorregião I,3312,RJ
3304144,Queimados,Metropolitana I,33005,Macrorregião II,3311,RJ
3304151,Quissamã,Norte,33008,Macrorregião III,3310,RJ
2408805,Parazinho,João Câmara,24003,Macrorregião I,2402,RN
3304904,São Gonçalo,Metropolitana II,33006,Macrorregião II,3311,RJ
3305000,São João da Barra,Norte,33008,Macrorregião III,3310,RJ
3305109,São João de Meriti,Metropolitana I,33005,Macrorregião II,3311,RJ
3305133,São José de Ubá,Noroeste,33007,Macrorregião III,3310,RJ
3305208,São Pedro da Aldeia,Baixada Litorânea,33002,Macrorregião III,3310,RJ
3305505,Saquarema,Baixada Litorânea,33002,Macrorregião III,3310,RJ
3305554,Seropédica,Metropolitana I,33005,Macrorregião II,3311,RJ
3305752,Tanguá,Metropolitana II,33006,Macrorregião II,3311,RJ
3501608,Americana,RM de Campinas,35072,RRAS15,3528,SP
3501707,Américo Brasiliense,Central do DRS III,35031,RRAS13,3530,SP
3501806,Américo de Campos,Votuporanga,35157,RRAS12,3531,SP
3306008,Três Rios,Centro Sul,33003,Macrorregião I,3312,RJ
3306305,Volta Redonda,Médio Paraíba,33004,Macrorregião I,3312,RJ
3500204,Adolfo,José Bonifácio,35156,RRAS12,3531,SP
3500402,Águas da Prata,Mantiqueira,35142,RRAS15,3528,SP
3507209,Borá,Assis,35092,RRAS10,3533,SP
3501905,Amparo,Circuito das Águas,35074,RRAS15,3528,SP
3500501,Águas de Lindóia,Circuito das Águas,35074,RRAS15,3528,SP
3500758,Alambari,Itapetininga,35161,RRAS8,3519,SP
3500808,Alfredo Marcondes,Alta Sorocabana,35112,RRAS11,3532,SP
3501004,Altinópolis,Vale das Cachoeiras,35133,RRAS13,3530,SP
3501103,Alto Alegre,Consórcios do DRS II,35023,RRAS12,3531,SP
3501152,Alumínio,Sorocaba,35163,RRAS8,3519,SP
3504800,Bálsamo,São José do Rio Preto,35155,RRAS12,3531,SP
3504909,Bananal,Circ. da Fé e Vale Histórico,35172,RRAS17,3526,SP
3501202,Álvares Florence,Votuporanga,35157,RRAS12,3531,SP
